June 2019 : US Category Changes,,,,,,,,,,
,,,,,,,,,,
Change Type,Count,,,,,,,,,
New,1216,,,,,,,,,
Retired,435,,,,,,,,,
Rename,137,,,,,,,,,
Move,67,,,,,,,,,
Move & Rename,46,,,,,,,,,
Total,1901,,,,,,,,,
,,,,,,,,,,
Category Name,,,,,,,,Category ID,Comments,Actions Required
,,,,Chewy Candy,,,,159892,"All listings are being moved into [Gummy, Soft Sweets & Marshmallows - 258017].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Chocolate,,,,38174,All listings are being moved into [Chocolate Sweets & Assortments - 258022].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Chocolate Covered Fruit,,,,177617,All listings are being moved into [Chocolate Sweets & Assortments - 258022].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Fondant & Gum Paste,,,,176969,All listings are being moved into [Icing & Fondant - 183346].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Fudge,,,,38175,"All listings are being moved into [Toffee, Fudge & Nougat - 258025].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Gummi Candy,,,,79627,"All listings are being moved into [Gummy, Soft Sweets & Marshmallows - 258017].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Jelly Beans,,,,166723,"All listings are being moved into [Gummy, Soft Sweets & Marshmallows - 258017].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Mints,,,,115717,All listings are being moved into [Gums & Breath Mints - 258018].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,,Seasonal Candy,,,,38177,All listings are being moved into [Other Sweets - 258502].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Sugar Free Candy & Chocolate,,,,146215,All listings are being moved into [Other Sweets - 258502].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,"Other Candy, Gum & Chocolate",,,,14307,All listings are being moved into [Other Sweets - 258502].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,Cereals & Breakfast Foods,,,,,62717,"All listings are being moved into [Breakfast Cereals, Muesli & Oats - 257958].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,-,Non-Alcoholic Drinks,,,,,185035,New Category,
,,,-,Coffee,,,,185036,New Category,
,,,,,Coffee Beans,,,38179,Moved from [Coffee-38178],
,,,,,Coffee Pods,,,79630,Moved from [Coffee-38178] Renamed from [Coffee Pods & K-Cups],
,,,,,Coffee Substitutes,,,185037,New Category,
,,,,,Ground Coffee,,,79629,Moved from [Coffee-38178],
,,,,,Instant Coffee,,,185038,New Category,
,,,,,Other Coffee,,,185039,New Category,
,,,,Energy & Fitness Drinks,,,,185040,New Category,
,,,,Soft Drinks,,,,179188,Moved from [Food & Beverages-14308],
,,,,Hot Chocolate & Malted Drinks,,,,185041,New Category,
,,,,Iced Tea,,,,185042,New Category,
,,,,"Juices, Milkshakes & Smoothies",,,,179176,Moved from [Food & Beverages-14308] Renamed from [Fruit Juices],
,,,,Longlife Dairy,,,,257940,New Category,
,,,,Longlife Dairy Alternatives,,,,257941,New Category,
,,,,Squash & Syrups,,,,179189,Moved from [Food & Beverages-14308] Renamed from [Water Flavor Enhancers],
,,,,Tea & Infusions,,,,38181,Moved from [Food & Beverages-14308] Renamed from [Tea],
,,,,Coconut Water,,,,179175,Moved from [Food & Beverages-14308],
,,,,Water,,,,48318,Moved from [Food & Beverages-14308],
,,,Cheese,,,,,62706,,
,,-,Coffee,,,,,38178,The Category ID is being changed to [185036].,Please update your category ID accordingly.
,,,,Flavored Coffee,,,,115718,All listings are being moved into [Other Coffee - 185039].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,,Other Coffee,,,,14309,All listings are being moved into [Other Coffee - 185039].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,Coffee & Soda Syrups,,,,,79628,All listings are being moved into [Squash & Syrups - 179189].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Condiments,,,,,134645,All listings are being moved into [Other Sauces - 258027].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,Desserts,,,,,14310,All listings are being moved into [Toasted Pastries - 258013].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Drink Mixes,,,,,179192,All listings are being moved into [Squash & Syrups - 179189].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Fruits,,,,,179237,All listings are being moved into [Dried Fruit & Veg - 257972].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Grains & Pasta,,,,,20472,All listings are being moved into [Pasta & Noodles - 257993].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,"Honey, Syrup & Sweeteners",,,,,20474,All listings are being moved into [Syrups - 257957].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,International Foods,,,,,43401,All listings are being moved into [Other Food & Beverages - 79631].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
,,,"Meat, Poultry & Seafood",,,,,14312,"All listings are being moved into [Tinned, Jarred & Packaged Meats - 258006].","Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Milk & Non-Dairy Milks,,,,,179177,All listings are being moved into [Longlife Dairy - 257940].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Mushrooms & Truffles,,,,,115722,All listings are being moved into [Dried Fruit & Veg - 257972].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Nuts & Seeds,,,,,25460,The Category ID is being changed to [257952].,Please update your category ID accordingly.
,,,Oils,,,,,134646,All listings are being moved into [Cooking Oils & Serving Oils - 257989].,"Action for after 12 June: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
,,,Prepared Foods,,,,,179835,All listings are being moved into [Other Food & Beverages - 79631].,"Action for before 10 June: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
